Time	Node	Type	Packets	
9	London	CacheMisses	10000
9	China	CacheHits	0
9	China	CacheMisses	0
9	Taipei	CacheHits	0
9	Taipei	CacheMisses	0
9	HongKong	CacheHits	0
9	HongKong	CacheMisses	0
9	Seoul	CacheHits	0
9	Seoul	CacheMisses	10000
9	Nagoya	CacheHits	0
9	Nagoya	CacheMisses	10000
9	Osaka	CacheHits	0
9	Osaka	CacheMisses	10000
9	Tokyo	CacheHits	0
9	Tokyo	CacheMisses	10000
9	Chennai	CacheHits	0
9	Chennai	CacheMisses	10000
9	Bangkok	CacheHits	0
9	Bangkok	CacheMisses	10000
9	KL	CacheHits	0
9	KL	CacheMisses	10000
9	Singapore	CacheHits	10000
9	Singapore	CacheMisses	10000
9	Jakarta	CacheHits	0
9	Jakarta	CacheMisses	0
9	Manila	CacheHits	0
9	Manila	CacheMisses	10000
9	Sydney	CacheHits	0
9	Sydney	CacheMisses	10000
9	Brisbane	CacheHits	0
9	Brisbane	CacheMisses	10000
9	Adelaide	CacheHits	0
9	Adelaide	CacheMisses	10000
9	Melbourne	CacheHits	0
9	Melbourne	CacheMisses	10000
9	Perth	CacheHits	0
9	Perth	CacheMisses	10000
9	Auckland	CacheHits	0
9	Auckland	CacheMisses	10000
9	SantaClara	CacheHits	0
9	SantaClara	CacheMisses	0
9	LA	CacheHits	20000
9	LA	CacheMisses	10000
9	Tribeca	CacheHits	0
9	Tribeca	CacheMisses	10000
9	SanJose	CacheHits	0
9	SanJose	CacheMisses	0
9	Ashburn	CacheHits	0
9	Ashburn	CacheMisses	10000
9	NewYork	CacheHits	0
9	NewYork	CacheMisses	0
10	London	CacheHits	0
10	London	CacheMisses	10001
10	China	CacheHits	0
10	China	CacheMisses	0
10	Taipei	CacheHits	0
10	Taipei	CacheMisses	0
10	HongKong	CacheHits	0
10	HongKong	CacheMisses	0
10	Seoul	CacheHits	0
10	Seoul	CacheMisses	10001
10	Nagoya	CacheHits	0
10	Nagoya	CacheMisses	10001
10	Osaka	CacheHits	0
10	Osaka	CacheMisses	10001
