Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
5.44223	Tokyo	0	1370	FullDelay	2.37623	2.37623e+06	2	1
5.44355	Auckland	0	1038	LastDelay	0.423551	423551	1	4
5.44355	Auckland	0	1038	FullDelay	3.15955	3.15955e+06	3	4
5.44409	Perth	0	1038	LastDelay	0.41509	415090	1	4
5.44409	Perth	0	1038	FullDelay	3.16109	3.16109e+06	3	4
5.44442	Chennai	0	1032	LastDelay	0.219424	219424	1	1
5.44442	Chennai	0	1032	FullDelay	2.51242	2.51242e+06	3	1
5.44626	Osaka	0	949	LastDelay	0.604261	604261	1	2
5.44626	Osaka	0	949	FullDelay	3.93626	3.93626e+06	4	2
5.44628	Melbourne	0	1690	LastDelay	1.59828	1.59828e+06	1	4
5.44628	Melbourne	0	1690	FullDelay	1.59828	1.59828e+06	1	4
5.44681	Seoul	0	1716	LastDelay	1.27481	1.27481e+06	1	2
5.44681	Seoul	0	1716	FullDelay	1.27481	1.27481e+06	1	2
5.44692	Nagoya	0	896	LastDelay	0.0679205	67920.5	1	3
5.44692	Nagoya	0	896	FullDelay	4.00592	4.00592e+06	4	3
5.44803	Manila	0	2350	LastDelay	0.693026	693026	1	2
5.44803	Manila	0	2350	FullDelay	0.693026	693026	1	2
5.4491	Ashburn	0	101	LastDelay	0.124099	124099	1	1
5.4491	Ashburn	0	101	FullDelay	5.3481	5.3481e+06	11	1
5.44937	KL	0	1193	LastDelay	0.0983687	98368.7	1	1
5.44937	KL	0	1193	FullDelay	0.862369	862369	2	1
5.44978	Adelaide	0	841	LastDelay	1.31578	1.31578e+06	1	4
5.44978	Adelaide	0	841	FullDelay	4.08478	4.08478e+06	3	4
5.45113	Bangkok	0	841	LastDelay	1.40613	1.40613e+06	1	3
5.45113	Bangkok	0	841	FullDelay	4.07913	4.07913e+06	3	3
5.45218	Auckland	0	1690	LastDelay	1.68818	1.68818e+06	1	4
5.45218	Auckland	0	1690	FullDelay	1.68818	1.68818e+06	1	4
5.45271	Perth	0	1690	LastDelay	1.69071	1.69071e+06	1	4
5.45271	Perth	0	1690	FullDelay	1.69071	1.69071e+06	1	4
5.45772	Ashburn	0	128	LastDelay	0.123715	123715	1	1
5.45772	Ashburn	0	128	FullDelay	5.32972	5.32972e+06	10	1
5.45799	KL	0	1202	LastDelay	0.0989927	98992.7	1	1
5.45799	KL	0	1202	FullDelay	0.861993	861993	2	1
5.46074	Sydney	0	1716	LastDelay	1.18574	1.18574e+06	1	3
5.46074	Sydney	0	1716	FullDelay	1.18574	1.18574e+06	1	3
5.46127	Chennai	0	1052	LastDelay	0.219268	219268	1	1
5.46127	Chennai	0	1052	FullDelay	2.50927	2.50927e+06	3	1
5.4631	Osaka	0	637	LastDelay	0.878105	878105	1	2
5.4631	Osaka	0	637	FullDelay	4.2651	4.2651e+06	4	2
5.46376	Nagoya	0	949	LastDelay	0.0427643	42764.3	1	3
5.46376	Nagoya	0	949	FullDelay	3.96976	3.96976e+06	4	3
5.46495	Manila	0	2677	LastDelay	0.382948	382948	1	2
5.46495	Manila	0	2677	FullDelay	0.382948	382948	1	2
5.46633	Ashburn	0	153	LastDelay	0.124331	124331	1	1
5.46633	Ashburn	0	153	FullDelay	5.31333	5.31333e+06	10	1
5.46666	KL	0	1311	LastDelay	0.0986567	98656.7	1	1
5.46666	KL	0	1311	FullDelay	0.0986567	98656.7	1	1
5.46671	Adelaide	0	2350	LastDelay	0.735707	735707	1	4
5.46671	Adelaide	0	2350	FullDelay	0.735707	735707	1	4
5.46806	Bangkok	0	2350	LastDelay	0.415055	415055	1	3
5.46806	Bangkok	0	2350	FullDelay	0.415055	415055	1	3
5.46815	Tokyo	0	1403	LastDelay	0.0201452	20145.2	1	1
5.46815	Tokyo	0	1403	FullDelay	2.36915	2.36915e+06	2	1
5.47227	Melbourne	0	1716	LastDelay	1.59827	1.59827e+06	1	4
5.47227	Melbourne	0	1716	FullDelay	1.59827	1.59827e+06	1	4
5.47495	Ashburn	0	179	LastDelay	0.123947	123947	1	1
5.47495	Ashburn	0	179	FullDelay	5.29595	5.29595e+06	10	1
5.47528	KL	0	1320	LastDelay	0.0982807	98280.7	1	1
5.47528	KL	0	1320	FullDelay	0.0982807	98280.7	1	1
5.47677	Tokyo	0	1759	LastDelay	1.25977	1.25977e+06	1	1
5.47677	Tokyo	0	1759	FullDelay	1.25977	1.25977e+06	1	1
5.477	Sydney	0	1370	LastDelay	0	0	1	0
5.477	Sydney	0	1370	FullDelay	2.351	2.351e+06	2	0
5.47811	Chennai	0	1072	LastDelay	0.219112	219112	1	1
5.47811	Chennai	0	1072	FullDelay	2.50611	2.50611e+06	3	1
5.47817	Auckland	0	1716	LastDelay	1.68817	1.68817e+06	1	4
5.47817	Auckland	0	1716	FullDelay	1.68817	1.68817e+06	1	4
5.47871	Perth	0	1716	LastDelay	1.69071	1.69071e+06	1	4
5.47871	Perth	0	1716	FullDelay	1.69071	1.69071e+06	1	4
5.47995	Osaka	0	1323	LastDelay	0.299948	299948	1	2
5.47995	Osaka	0	1323	FullDelay	1.71995	1.71995e+06	2	2
5.48061	Nagoya	0	637	LastDelay	0.310608	310608	1	3
5.48061	Nagoya	0	637	FullDelay	4.29861	4.29861e+06	4	3
5.48098	Melbourne	0	1370	LastDelay	0.221977	221977	1	4
5.48098	Melbourne	0	1370	FullDelay	2.81798	2.81798e+06	2	4
5.48187	Manila	0	2384	LastDelay	0.69287	692870	1	2
5.48187	Manila	0	2384	FullDelay	0.69287	692870	1	2
5.48356	Ashburn	0	206	LastDelay	0.123563	123563	1	1
5.48356	Ashburn	0	206	FullDelay	5.27756	5.27756e+06	10	1
5.48363	Adelaide	0	896	LastDelay	1.30363	1.30363e+06	1	4
5.48363	Adelaide	0	896	FullDelay	4.06363	4.06363e+06	3	4
5.4839	KL	0	1328	LastDelay	0.0989047	98904.7	1	1
5.4839	KL	0	1328	FullDelay	0.0989047	98904.7	1	1
5.48539	Tokyo	0	1186	LastDelay	0.238393	238393	1	1
5.48539	Tokyo	0	1186	FullDelay	2.60339	2.60339e+06	2	1
5.48687	Auckland	0	1370	LastDelay	0.231871	231871	1	4
5.48687	Auckland	0	1370	FullDelay	2.87087	2.87087e+06	2	4
5.48739	Perth	0	1370	LastDelay	0.23339	233390	1	4
5.48739	Perth	0	1370	FullDelay	2.87239	2.87239e+06	2	4
5.49001	Seoul	0	1759	LastDelay	1.27501	1.27501e+06	1	2
5.49001	Seoul	0	1759	FullDelay	1.27501	1.27501e+06	1	2
5.49215	Brisbane	0	1759	LastDelay	1.77615	1.77615e+06	1	2
5.49215	Brisbane	0	1759	FullDelay	1.77615	1.77615e+06	1	2
5.49222	Ashburn	0	231	LastDelay	0.124219	124219	1	1
5.49222	Ashburn	0	231	FullDelay	5.26122	5.26122e+06	10	1
5.49253	KL	0	1337	LastDelay	0.0985287	98528.7	1	1
5.49253	KL	0	1337	FullDelay	0.0985287	98528.7	1	1
5.49402	Tokyo	0	1552	LastDelay	1.48402	1.48402e+06	1	1
5.49402	Tokyo	0	1552	FullDelay	1.48402	1.48402e+06	1	1
5.49503	Chennai	0	1091	LastDelay	0.219034	219034	1	1
5.49503	Chennai	0	1091	FullDelay	2.50403	2.50403e+06	3	1
5.49532	Sydney	0	1403	LastDelay	1.53332	1.53332e+06	1	3
5.49532	Sydney	0	1403	FullDelay	1.53332	1.53332e+06	1	3
5.49679	Osaka	0	1332	LastDelay	0.307792	307792	1	2
5.49679	Osaka	0	1332	FullDelay	1.72779	1.72779e+06	2	2
5.49863	Seoul	0	1186	LastDelay	0.184635	184635	1	2
5.49863	Seoul	0	1186	FullDelay	2.68063	2.68063e+06	2	2
5.49879	Manila	0	1217	LastDelay	1.49479	1.49479e+06	1	2
5.49879	Manila	0	1217	FullDelay	3.15279	3.15279e+06	2	2
5.50055	Adelaide	0	2384	LastDelay	0.73555	735550	1	4
5.50055	Adelaide	0	2384	FullDelay	0.73555	735550	1	4
5.50077	Brisbane	0	1186	LastDelay	0.956774	956774	1	2
5.50077	Brisbane	0	1186	FullDelay	3.24377	3.24377e+06	2	2
5.50084	Ashburn	0	260	LastDelay	0.123843	123843	1	1
5.50084	Ashburn	0	260	FullDelay	5.20584	5.20584e+06	10	1
5.50115	KL	0	1346	LastDelay	0.0981527	98152.7	1	1
5.50115	KL	0	1346	FullDelay	0.0981527	98152.7	1	1
5.5019	Bangkok	0	2384	LastDelay	0.414899	414899	1	3
5.5019	Bangkok	0	2384	FullDelay	0.414899	414899	1	3
5.50394	Sydney	0	1759	LastDelay	1.18594	1.18594e+06	1	3
5.50394	Sydney	0	1759	FullDelay	1.18594	1.18594e+06	1	3
5.50689	Melbourne	0	1403	LastDelay	0.218889	218889	1	4
5.50689	Melbourne	0	1403	FullDelay	2.81089	2.81089e+06	2	4
5.50726	Seoul	0	1552	LastDelay	1.49926	1.49926e+06	1	2
5.50726	Seoul	0	1552	FullDelay	1.49926	1.49926e+06	1	2
5.50947	Ashburn	0	280	LastDelay	0.124467	124467	1	1
5.50947	Ashburn	0	280	FullDelay	5.06247	5.06247e+06	9	1
5.50982	KL	0	1354	LastDelay	0.0988167	98816.7	1	1
5.50982	KL	0	1354	FullDelay	0.0988167	98816.7	1	1
5.51127	Tokyo	0	840	LastDelay	0.552265	552265	1	1
5.51127	Tokyo	0	840	FullDelay	3.64427	3.64427e+06	4	1
5.51188	Chennai	0	1110	LastDelay	0.218877	218877	1	1
5.51188	Chennai	0	1110	FullDelay	2.50188	2.50188e+06	3	1
5.51256	Sydney	0	1186	LastDelay	0.206564	206564	1	3
5.51256	Sydney	0	1186	FullDelay	2.57056	2.57056e+06	2	3
5.51278	Auckland	0	1403	LastDelay	0.228783	228783	1	4
5.51278	Auckland	0	1403	FullDelay	2.86378	2.86378e+06	2	4
5.5133	Perth	0	1403	LastDelay	0.230302	230302	1	4
5.5133	Perth	0	1403	FullDelay	2.8653	2.8653e+06	2	4
5.51364	Osaka	0	1010	LastDelay	0.621636	621636	1	2
5.51364	Osaka	0	1010	FullDelay	3.05564	3.05564e+06	3	2
5.51551	Melbourne	0	1759	LastDelay	1.59851	1.59851e+06	1	4
5.51551	Melbourne	0	1759	FullDelay	1.59851	1.59851e+06	1	4
5.51571	Manila	0	949	LastDelay	1.76371	1.76371e+06	1	2
5.51571	Manila	0	949	FullDelay	3.43771	3.43771e+06	2	2
5.51747	Adelaide	0	1217	LastDelay	1.10247	1.10247e+06	1	4
5.51747	Adelaide	0	1217	FullDelay	2.93847	2.93847e+06	2	4
5.51809	Ashburn	0	308	LastDelay	0.124091	124091	1	1
5.51809	Ashburn	0	308	FullDelay	4.91009	4.91009e+06	9	1
5.51844	KL	0	1363	LastDelay	0.0984407	98440.7	1	1
5.51844	KL	0	1363	FullDelay	0.0984407	98440.7	1	1
5.51882	Bangkok	0	1217	LastDelay	1.13882	1.13882e+06	1	3
5.51882	Bangkok	0	1217	FullDelay	2.90282	2.90282e+06	2	3
5.52119	Sydney	0	1552	LastDelay	1.41019	1.41019e+06	1	3
5.52119	Sydney	0	1552	FullDelay	1.41019	1.41019e+06	1	3
5.52141	Auckland	0	1759	LastDelay	1.68841	1.68841e+06	1	4
5.52141	Auckland	0	1759	FullDelay	1.68841	1.68841e+06	1	4
5.52191	Perth	0	1759	LastDelay	1.69091	1.69091e+06	1	4
5.52191	Perth	0	1759	FullDelay	1.69091	1.69091e+06	1	4
5.52414	Melbourne	0	1186	LastDelay	0.427137	427137	1	4
5.52414	Melbourne	0	1186	FullDelay	3.04514	3.04514e+06	2	4
5.52451	Seoul	0	840	LastDelay	0.461507	461507	1	2
5.52451	Seoul	0	840	FullDelay	3.55051	3.55051e+06	3	2
5.52665	Brisbane	0	840	LastDelay	0.419646	419646	1	2
5.52665	Brisbane	0	840	FullDelay	4.11665	4.11665e+06	3	2
5.52672	Ashburn	0	328	LastDelay	0.123715	123715	1	1
5.52672	Ashburn	0	328	FullDelay	4.89872	4.89872e+06	9	1
5.52706	KL	0	1371	LastDelay	0.0990647	99064.7	1	1
5.52706	KL	0	1371	FullDelay	0.0990647	99064.7	1	1
5.52851	Tokyo	0	1593	LastDelay	1.47751	1.47751e+06	1	1
5.52851	Tokyo	0	1593	FullDelay	1.47751	1.47751e+06	1	1
5.5288	Chennai	0	1129	LastDelay	0.218799	218799	1	1
5.5288	Chennai	0	1129	FullDelay	2.4998	2.4998e+06	3	1
5.53003	Auckland	0	1186	LastDelay	0.437031	437031	1	4
5.53003	Auckland	0	1186	FullDelay	3.09803	3.09803e+06	2	4
5.53053	Perth	0	1186	LastDelay	0.43853	438530	1	4
5.53053	Perth	0	1186	FullDelay	3.09953	3.09953e+06	2	4
5.53054	Osaka	0	142	LastDelay	1.33354	1.33354e+06	1	2
5.53054	Osaka	0	142	FullDelay	5.38854	5.38854e+06	5	2
5.53106	Nagoya	0	1010	LastDelay	0.0610612	61061.2	1	3
5.53106	Nagoya	0	1010	FullDelay	3.10106	3.10106e+06	3	3
5.53264	Manila	0	2521	LastDelay	0.606636	606636	1	2
5.53264	Manila	0	2521	FullDelay	0.606636	606636	1	2
5.53276	Melbourne	0	1552	LastDelay	0.105761	105761	1	4
5.53276	Melbourne	0	1552	FullDelay	1.82276	1.82276e+06	2	4
5.53538	Ashburn	0	350	LastDelay	0.124379	124379	1	1
5.53538	Ashburn	0	350	FullDelay	4.88538	4.88538e+06	9	1
5.53573	KL	0	1380	LastDelay	0.0987287	98728.7	1	1
5.53573	KL	0	1380	FullDelay	0.0987287	98728.7	1	1
5.53574	Bangkok	0	949	LastDelay	1.39774	1.39774e+06	1	3
5.53574	Bangkok	0	949	FullDelay	4.05574	4.05574e+06	3	3
5.53714	Tokyo	0	345	LastDelay	0.932137	932137	1	1
5.53714	Tokyo	0	345	FullDelay	4.95914	4.95914e+06	6	1
5.53844	Sydney	0	840	LastDelay	0.528436	528436	1	3
5.53844	Sydney	0	840	FullDelay	3.56744	3.56744e+06	3	3
5.53866	Auckland	0	1552	LastDelay	0.117655	117655	1	4
5.53866	Auckland	0	1552	FullDelay	2.74066	2.74066e+06	2	4
5.53915	Perth	0	1552	LastDelay	0.119154	119154	1	4
5.53915	Perth	0	1552	FullDelay	2.74215	2.74215e+06	2	4
5.54175	Seoul	0	1593	LastDelay	1.49275	1.49275e+06	1	2
5.54175	Seoul	0	1593	FullDelay	1.49275	1.49275e+06	1	2
5.544	Ashburn	0	370	LastDelay	0.124003	124003	1	1
5.544	Ashburn	0	370	FullDelay	4.874	4.874e+06	8	1
5.54435	KL	0	1389	LastDelay	0.0983527	98352.7	1	1
5.54435	KL	0	1389	FullDelay	0.0983527	98352.7	1	1
5.54564	Chennai	0	1148	LastDelay	0.218643	218643	1	1
5.54564	Chennai	0	1148	FullDelay	2.49764	2.49764e+06	3	1
5.54576	Tokyo	0	1828	LastDelay	1.25976	1.25976e+06	1	1
5.54576	Tokyo	0	1828	FullDelay	1.25976	1.25976e+06	1	1
5.54739	Osaka	0	1038	LastDelay	0.628386	628386	1	2
5.54739	Osaka	0	1038	FullDelay	3.06139	3.06139e+06	3	2
5.54803	Nagoya	0	142	LastDelay	0.75503	755030	1	3
5.54803	Nagoya	0	142	FullDelay	5.40603	5.40603e+06	5	3
5.54956	Manila	0	1323	LastDelay	1.44256	1.44256e+06	1	2
5.54956	Manila	0	1323	FullDelay	3.09756	3.09756e+06	2	2
5.54997	Melbourne	0	840	LastDelay	0.678969	678969	1	4
5.54997	Melbourne	0	840	FullDelay	3.99997	3.99997e+06	3	4
5.55038	Seoul	0	345	LastDelay	0.845379	845379	1	2
5.55038	Seoul	0	345	FullDelay	4.98538	4.98538e+06	6	2
5.55132	Adelaide	0	2521	LastDelay	0.395316	395316	1	4
5.55132	Adelaide	0	2521	FullDelay	0.395316	395316	1	4
5.55252	Brisbane	0	345	LastDelay	0.796518	796518	1	2
5.55252	Brisbane	0	345	FullDelay	4.98852	4.98852e+06	5	2
5.55266	Bangkok	0	2521	LastDelay	0.328665	328665	1	3
5.55266	Bangkok	0	2521	FullDelay	0.328665	328665	1	3
5.55267	Ashburn	0	392	LastDelay	0.123667	123667	1	1
5.55267	Ashburn	0	392	FullDelay	4.86067	4.86067e+06	8	1
5.55298	KL	0	1397	LastDelay	0.0989766	98976.6	1	1
5.55298	KL	0	1397	FullDelay	0.0989766	98976.6	1	1
5.55439	Tokyo	0	1261	LastDelay	0.238385	238385	1	1
5.55439	Tokyo	0	1261	FullDelay	2.59739	2.59739e+06	2	1
5.55568	Sydney	0	1593	LastDelay	1.40368	1.40368e+06	1	3
5.55568	Sydney	0	1593	FullDelay	1.40368	1.40368e+06	1	3
5.55586	Auckland	0	840	LastDelay	0.684863	684863	1	4
5.55586	Auckland	0	840	FullDelay	4.02486	4.02486e+06	3	4
5.5564	Perth	0	840	LastDelay	0.675402	675402	1	4
5.5564	Perth	0	840	FullDelay	4.0274	4.0274e+06	3	4
5.559	Seoul	0	1828	LastDelay	1.275	1.275e+06	1	2
5.559	Seoul	0	1828	FullDelay	1.275	1.275e+06	1	2
5.56114	Brisbane	0	1828	LastDelay	1.77614	1.77614e+06	1	2
5.56114	Brisbane	0	1828	FullDelay	1.77614	1.77614e+06	1	2
5.56133	Ashburn	0	414	LastDelay	0.124331	124331	1	1
5.56133	Ashburn	0	414	FullDelay	4.58233	4.58233e+06	8	1
