Time	Node	Type	Packets	
6	Auckland	CacheHits	0
6	Auckland	CacheMisses	101
6	SantaClara	CacheHits	0
6	SantaClara	CacheMisses	0
6	LA	CacheHits	2637
6	LA	CacheMisses	844
6	Tribeca	CacheHits	0
6	Tribeca	CacheMisses	1000
6	SanJose	CacheHits	0
6	SanJose	CacheMisses	0
6	Ashburn	CacheHits	0
6	Ashburn	CacheMisses	142
6	NewYork	CacheHits	0
6	NewYork	CacheMisses	0
7	London	CacheHits	0
7	London	CacheMisses	1000
7	China	CacheHits	0
7	China	CacheMisses	0
7	Taipei	CacheHits	0
7	Taipei	CacheMisses	0
7	HongKong	CacheHits	0
7	HongKong	CacheMisses	0
7	Seoul	CacheHits	0
7	Seoul	CacheMisses	46
7	Nagoya	CacheHits	0
7	Nagoya	CacheMisses	1000
7	Osaka	CacheHits	24
7	Osaka	CacheMisses	607
7	Tokyo	CacheHits	382
7	Tokyo	CacheMisses	650
7	Chennai	CacheHits	0
7	Chennai	CacheMisses	0
7	Bangkok	CacheHits	0
7	Bangkok	CacheMisses	1000
7	KL	CacheHits	0
7	KL	CacheMisses	142
7	Singapore	CacheHits	1987
7	Singapore	CacheMisses	0
7	Jakarta	CacheHits	0
7	Jakarta	CacheMisses	0
7	Manila	CacheHits	16
7	Manila	CacheMisses	932
7	Sydney	CacheHits	106
7	Sydney	CacheMisses	609
7	Brisbane	CacheHits	23
7	Brisbane	CacheMisses	483
7	Adelaide	CacheHits	0
7	Adelaide	CacheMisses	1000
7	Melbourne	CacheHits	0
7	Melbourne	CacheMisses	445
7	Perth	CacheHits	0
7	Perth	CacheMisses	111
7	Auckland	CacheHits	0
7	Auckland	CacheMisses	58
7	SantaClara	CacheHits	0
7	SantaClara	CacheMisses	0
7	LA	CacheHits	2729
7	LA	CacheMisses	820
7	Tribeca	CacheHits	0
7	Tribeca	CacheMisses	1000
7	SanJose	CacheHits	0
7	SanJose	CacheMisses	0
7	Ashburn	CacheHits	0
7	Ashburn	CacheMisses	153
7	NewYork	CacheHits	0
7	NewYork	CacheMisses	0
8	London	CacheHits	0
8	London	CacheMisses	1000
8	China	CacheHits	0
8	China	CacheMisses	0
8	Taipei	CacheHits	0
8	Taipei	CacheMisses	0
8	HongKong	CacheHits	0
8	HongKong	CacheMisses	0
8	Seoul	CacheHits	0
8	Seoul	CacheMisses	69
8	Nagoya	CacheHits	0
8	Nagoya	CacheMisses	1000
8	Osaka	CacheHits	6
8	Osaka	CacheMisses	972
8	Tokyo	CacheHits	430
8	Tokyo	CacheMisses	638
8	Chennai	CacheHits	0
8	Chennai	CacheMisses	236
8	Bangkok	CacheHits	0
8	Bangkok	CacheMisses	1000
8	KL	CacheHits	0
8	KL	CacheMisses	149
8	Singapore	CacheHits	1737
8	Singapore	CacheMisses	236
8	Jakarta	CacheHits	0
8	Jakarta	CacheMisses	0
8	Manila	CacheHits	20
8	Manila	CacheMisses	653
8	Sydney	CacheHits	277
8	Sydney	CacheMisses	328
8	Brisbane	CacheHits	9
8	Brisbane	CacheMisses	242
8	Adelaide	CacheHits	0
8	Adelaide	CacheMisses	1000
8	Melbourne	CacheHits	0
8	Melbourne	CacheMisses	479
8	Perth	CacheHits	0
8	Perth	CacheMisses	49
8	Auckland	CacheHits	0
8	Auckland	CacheMisses	106
8	SantaClara	CacheHits	0
8	SantaClara	CacheMisses	0
8	LA	CacheHits	2391
8	LA	CacheMisses	1162
8	Tribeca	CacheHits	0
8	Tribeca	CacheMisses	1000
8	SanJose	CacheHits	0
8	SanJose	CacheMisses	0
8	Ashburn	CacheHits	0
8	Ashburn	CacheMisses	160
8	NewYork	CacheHits	0
8	NewYork	CacheMisses	0
9	London	CacheHits	0
9	London	CacheMisses	1000
9	China	CacheHits	0
9	China	CacheMisses	0
9	Taipei	CacheHits	0
9	Taipei	CacheMisses	0
9	HongKong	CacheHits	0
9	HongKong	CacheMisses	0
9	Seoul	CacheHits	0
9	Seoul	CacheMisses	25
9	Nagoya	CacheHits	0
9	Nagoya	CacheMisses	1000
9	Osaka	CacheHits	3
9	Osaka	CacheMisses	999
9	Tokyo	CacheHits	436
9	Tokyo	CacheMisses	777
9	Chennai	CacheHits	0
9	Chennai	CacheMisses	45
9	Bangkok	CacheHits	0
9	Bangkok	CacheMisses	1000
9	KL	CacheHits	0
9	KL	CacheMisses	158
9	Singapore	CacheHits	1972
9	Singapore	CacheMisses	28
9	Jakarta	CacheHits	0
9	Jakarta	CacheMisses	0
9	Manila	CacheHits	20
9	Manila	CacheMisses	1277
9	Sydney	CacheHits	218
9	Sydney	CacheMisses	73
9	Brisbane	CacheHits	16
9	Brisbane	CacheMisses	112
9	Adelaide	CacheHits	0
9	Adelaide	CacheMisses	1000
9	Melbourne	CacheHits	0
9	Melbourne	CacheMisses	304
9	Perth	CacheHits	0
9	Perth	CacheMisses	97
9	Auckland	CacheHits	0
9	Auckland	CacheMisses	100
9	SantaClara	CacheHits	0
9	SantaClara	CacheMisses	0
9	LA	CacheHits	1959
9	LA	CacheMisses	1595
9	Tribeca	CacheHits	0
9	Tribeca	CacheMisses	1000
9	SanJose	CacheHits	0
9	SanJose	CacheMisses	0
9	Ashburn	CacheHits	0
9	Ashburn	CacheMisses	150
9	NewYork	CacheHits	0
9	NewYork	CacheMisses	0
10	London	CacheHits	0
10	London	CacheMisses	1000
10	China	CacheHits	0
10	China	CacheMisses	0
10	Taipei	CacheHits	0
10	Taipei	CacheMisses	0
10	HongKong	CacheHits	0
10	HongKong	CacheMisses	0
10	Seoul	CacheHits	0
10	Seoul	CacheMisses	47
10	Nagoya	CacheHits	0
10	Nagoya	CacheMisses	1000
10	Osaka	CacheHits	73
10	Osaka	CacheMisses	196
10	Tokyo	CacheHits	676
10	Tokyo	CacheMisses	311
10	Chennai	CacheHits	0
10	Chennai	CacheMisses	200
10	Bangkok	CacheHits	0
10	Bangkok	CacheMisses	1000
10	KL	CacheHits	0
10	KL	CacheMisses	160
10	Singapore	CacheHits	1761
10	Singapore	CacheMisses	217
10	Jakarta	CacheHits	0
10	Jakarta	CacheMisses	0
10	Manila	CacheHits	23
10	Manila	CacheMisses	1004
10	Sydney	CacheHits	159
10	Sydney	CacheMisses	784
10	Brisbane	CacheHits	29
10	Brisbane	CacheMisses	617
10	Adelaide	CacheHits	0
10	Adelaide	CacheMisses	1000
10	Melbourne	CacheHits	0
10	Melbourne	CacheMisses	250
10	Perth	CacheHits	0
10	Perth	CacheMisses	69
10	Auckland	CacheHits	0
10	Auckland	CacheMisses	151
10	SantaClara	CacheHits	0
10	SantaClara	CacheMisses	0
10	LA	CacheHits	2161
10	LA	CacheMisses	1351
10	Tribeca	CacheHits	0
10	Tribeca	CacheMisses	1000
10	SanJose	CacheHits	0
10	SanJose	CacheMisses	0
10	Ashburn	CacheHits	0
10	Ashburn	CacheMisses	166
10	NewYork	CacheHits	0
10	NewYork	CacheMisses	0
11	London	CacheHits	0
11	London	CacheMisses	1001
11	China	CacheHits	0
11	China	CacheMisses	0
11	Taipei	CacheHits	0
11	Taipei	CacheMisses	0
11	HongKong	CacheHits	0
11	HongKong	CacheMisses	0
11	Seoul	CacheHits	0
11	Seoul	CacheMisses	127
11	Nagoya	CacheHits	0
11	Nagoya	CacheMisses	1001
11	Osaka	CacheHits	40
11	Osaka	CacheMisses	906
11	Tokyo	CacheHits	490
11	Tokyo	CacheMisses	431
11	Chennai	CacheHits	0
11	Chennai	CacheMisses	155
11	Bangkok	CacheHits	0
11	Bangkok	CacheMisses	1001
11	KL	CacheHits	0
11	KL	CacheMisses	160
11	Singapore	CacheHits	1863
11	Singapore	CacheMisses	137
11	Jakarta	CacheHits	0
11	Jakarta	CacheMisses	0
11	Manila	CacheHits	23
11	Manila	CacheMisses	748
11	Sydney	CacheHits	408
11	Sydney	CacheMisses	0
11	Brisbane	CacheHits	37
11	Brisbane	CacheMisses	58
11	Adelaide	CacheHits	0
11	Adelaide	CacheMisses	1001
11	Melbourne	CacheHits	0
11	Melbourne	CacheMisses	358
11	Perth	CacheHits	0
11	Perth	CacheMisses	92
11	Auckland	CacheHits	0
11	Auckland	CacheMisses	261
11	SantaClara	CacheHits	0
11	SantaClara	CacheMisses	0
11	LA	CacheHits	2444
11	LA	CacheMisses	1064
11	Tribeca	CacheHits	0
11	Tribeca	CacheMisses	1001
11	SanJose	CacheHits	0
11	SanJose	CacheMisses	0
11	Ashburn	CacheHits	0
11	Ashburn	CacheMisses	171
11	NewYork	CacheHits	0
11	NewYork	CacheMisses	0
12	London	CacheHits	0
12	London	CacheMisses	999
12	China	CacheHits	0
12	China	CacheMisses	0
12	Taipei	CacheHits	0
12	Taipei	CacheMisses	0
12	HongKong	CacheHits	0
12	HongKong	CacheMisses	0
12	Seoul	CacheHits	0
12	Seoul	CacheMisses	75
12	Nagoya	CacheHits	0
12	Nagoya	CacheMisses	999
12	Osaka	CacheHits	0
12	Osaka	CacheMisses	1000
12	Tokyo	CacheHits	492
12	Tokyo	CacheMisses	1081
12	Chennai	CacheHits	0
12	Chennai	CacheMisses	99
12	Bangkok	CacheHits	0
12	Bangkok	CacheMisses	999
12	KL	CacheHits	0
12	KL	CacheMisses	110
12	Singapore	CacheHits	1534
12	Singapore	CacheMisses	451
12	Jakarta	CacheHits	0
12	Jakarta	CacheMisses	0
12	Manila	CacheHits	8
12	Manila	CacheMisses	1086
12	Sydney	CacheHits	228
12	Sydney	CacheMisses	251
12	Brisbane	CacheHits	62
12	Brisbane	CacheMisses	269
12	Adelaide	CacheHits	0
12	Adelaide	CacheMisses	999
12	Melbourne	CacheHits	0
12	Melbourne	CacheMisses	265
12	Perth	CacheHits	0
12	Perth	CacheMisses	86
12	Auckland	CacheHits	0
12	Auckland	CacheMisses	74
12	SantaClara	CacheHits	0
12	SantaClara	CacheMisses	0
12	LA	CacheHits	1960
12	LA	CacheMisses	1593
12	Tribeca	CacheHits	0
12	Tribeca	CacheMisses	999
12	SanJose	CacheHits	0
12	SanJose	CacheMisses	0
12	Ashburn	CacheHits	0
12	Ashburn	CacheMisses	178
12	NewYork	CacheHits	0
12	NewYork	CacheMisses	0
13	London	CacheHits	0
13	London	CacheMisses	1000
13	China	CacheHits	0
13	China	CacheMisses	0
13	Taipei	CacheHits	0
13	Taipei	CacheMisses	0
13	HongKong	CacheHits	0
13	HongKong	CacheMisses	0
13	Seoul	CacheHits	0
13	Seoul	CacheMisses	114
13	Nagoya	CacheHits	0
13	Nagoya	CacheMisses	1000
13	Osaka	CacheHits	95
13	Osaka	CacheMisses	388
13	Tokyo	CacheHits	884
13	Tokyo	CacheMisses	372
13	Chennai	CacheHits	0
13	Chennai	CacheMisses	112
13	Bangkok	CacheHits	0
13	Bangkok	CacheMisses	1000
13	KL	CacheHits	0
13	KL	CacheMisses	110
13	Singapore	CacheHits	1905
13	Singapore	CacheMisses	95
13	Jakarta	CacheHits	0
13	Jakarta	CacheMisses	0
13	Manila	CacheHits	51
13	Manila	CacheMisses	446
13	Sydney	CacheHits	172
13	Sydney	CacheMisses	836
13	Brisbane	CacheHits	47
13	Brisbane	CacheMisses	822
13	Adelaide	CacheHits	0
13	Adelaide	CacheMisses	1000
13	Melbourne	CacheHits	0
13	Melbourne	CacheMisses	105
13	Perth	CacheHits	0
13	Perth	CacheMisses	159
13	Auckland	CacheHits	0
13	Auckland	CacheMisses	0
13	SantaClara	CacheHits	0
